                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4131,                 2.6078,                 1.3062,                0.66753,                 0.4829,                0.51597,                0.37819,                 1.1311,                 1.1208,                 1.0592,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.3995,                 2.4225,                 1.2775,                0.62891,                0.48954,                0.52109,                 0.3905,                 1.1331,                 1.0939,                 1.0615,             1.7497e-05,             1.7497e-05,             1.7497e-05
                      3,                  1.317,                 2.0865,                 1.2766,                0.63988,                0.47455,                0.52837,                0.39384,                 1.1342,                 1.0828,                 1.0647,             2.6286e-05,             2.6286e-05,             2.6286e-05
                      4,                 1.3716,                 2.0148,                 1.2569,                0.77351,                0.43536,                0.53896,                0.40144,                 1.1317,                 1.0677,                 1.0646,             3.4699e-05,             3.4699e-05,             3.4699e-05
                      5,                 1.3534,                 1.7999,                 1.2655,                0.80358,                0.44367,                0.55528,                0.40754,                 1.1318,                 1.0674,                 1.0642,             4.2734e-05,             4.2734e-05,             4.2734e-05
                      6,                 1.2862,                 1.7141,                 1.2329,                0.74028,                0.45617,                0.56453,                0.41387,                 1.1351,                 1.0818,                 1.0639,             5.0393e-05,             5.0393e-05,             5.0393e-05
                      7,                  1.283,                 1.6051,                 1.2411,                0.72392,                0.46175,                0.56742,                0.41729,                 1.1371,                 1.0916,                 1.0638,             5.7675e-05,             5.7675e-05,             5.7675e-05
                      8,                 1.2771,                   1.61,                 1.2198,                0.72665,                0.47371,                0.57175,                0.41967,                 1.1297,                 1.0864,                 1.0595,             6.4579e-05,             6.4579e-05,             6.4579e-05
                      9,                 1.2221,                 1.5046,                 1.1767,                0.75538,                0.47482,                0.57774,                0.42229,                  1.123,                 1.0775,                 1.0535,             7.1107e-05,             7.1107e-05,             7.1107e-05
                     10,                 1.2827,                 1.4907,                 1.1959,                0.79018,                0.47016,                0.58223,                0.42601,                 1.1212,                 1.0609,                 1.0504,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     11,                 1.2257,                 1.3813,                 1.1982,                0.69974,                0.53494,                0.59081,                0.43557,                 1.1072,                 1.0304,                 1.0411,             8.3031e-05,             8.3031e-05,             8.3031e-05
                     12,                 1.2705,                 1.4133,                 1.1968,                0.74978,                0.52469,                0.59583,                  0.438,                 1.1014,                 1.0024,                  1.041,             8.8428e-05,             8.8428e-05,             8.8428e-05
                     13,                 1.2755,                 1.3472,                 1.1883,                0.75928,                0.53713,                 0.6113,                0.45177,                 1.0926,                0.97518,                 1.0372,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     14,                  1.262,                 1.3397,                 1.1763,                 0.7717,                0.53262,                0.61096,                0.45238,                 1.0899,                0.95149,                 1.0353,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     15,                 1.1988,                 1.3132,                 1.1842,                0.77099,                0.53607,                0.61508,                0.45428,                 1.0839,                0.92897,                 1.0332,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     16,                 1.2204,                 1.3007,                  1.173,                0.75426,                0.54368,                0.62477,                0.46337,                 1.0765,                0.91237,                  1.033,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     17,                 1.1811,                 1.3208,                 1.1629,                 0.6971,                0.56656,                0.62747,                0.46732,                 1.0681,                0.89802,                 1.0297,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     18,                 1.1617,                 1.2337,                 1.1488,                0.69808,                0.57974,                0.62989,                0.47031,                 1.0636,                0.88853,                 1.0261,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     19,                 1.1969,                 1.2232,                 1.1434,                0.77716,                0.54045,                0.62153,                0.47053,                 1.0563,                0.87781,                 1.0224,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     20,                  1.168,                 1.2043,                 1.1654,                0.76747,                0.54594,                0.63059,                0.47662,                 1.0484,                0.86817,                 1.0188,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     21,                 1.1842,                 1.2159,                 1.1524,                0.75282,                0.56313,                  0.637,                 0.4818,                 1.0415,                0.86777,                 1.0154,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     22,                 1.1283,                 1.1557,                 1.1473,                0.71839,                0.60667,                0.64278,                0.48882,                 1.0354,                0.86318,                  1.014,              6.952e-05,              6.952e-05,              6.952e-05
                     23,                   1.19,                  1.174,                   1.15,                0.77667,                 0.5886,                0.64743,                0.49086,                 1.0345,                 0.8577,                 1.0132,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     24,                 1.1021,                 1.0957,                 1.1189,                0.78303,                0.58737,                0.64863,                0.49055,                 1.0324,                0.84934,                 1.0093,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     25,                 1.1878,                 1.1468,                 1.1622,                0.81669,                0.57193,                 0.6591,                0.49635,                  1.023,                  0.836,                 1.0048,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     26,                 1.1322,                 1.1846,                 1.1295,                0.82875,                0.57559,                0.66195,                0.50048,                 1.0128,                0.82171,                  1.001,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     27,                 1.2023,                  1.144,                 1.1495,                0.81818,                0.57334,                0.66071,                 0.5024,                 1.0085,                0.81144,                 1.0006,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     28,                 1.1002,                 1.1015,                 1.1246,                0.78231,                0.58884,                0.66569,                0.50679,                 1.0014,                0.80087,                0.99789,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     29,                 1.1005,                 1.0848,                 1.1165,                0.77307,                0.58884,                0.66685,                0.50928,                 1.0012,                 0.7925,                0.99688,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     30,                 1.0968,                 1.1119,                 1.1105,                0.76753,                 0.5855,                0.66617,                0.50997,                 1.0001,                0.78673,                0.99631,              5.067e-05,              5.067e-05,              5.067e-05
                     31,                 1.1658,                 1.0976,                 1.1137,                0.80576,                0.57575,                0.67051,                0.51019,                0.99954,                0.78321,                0.99562,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     32,                 1.1283,                 1.1082,                 1.1228,                0.81122,                0.57121,                0.67103,                0.51121,                0.99557,                0.77797,                0.99351,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     33,                 1.1129,                 1.0788,                 1.1143,                 0.7651,                0.59751,                0.67481,                0.51157,                0.99138,                0.77165,                0.99151,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     34,                 1.1098,                 1.0454,                 1.1136,                0.80112,                0.58264,                 0.6773,                0.51635,                  0.988,                0.76579,                 0.9899,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     35,                  1.095,                 1.0327,                 1.0972,                0.81385,                0.58048,                0.68059,                0.51784,                0.98435,                0.76354,                0.98854,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     36,                 1.1364,                 1.1005,                 1.1208,                 0.8154,                0.58094,                0.67912,                0.51545,                0.98014,                0.76257,                0.98597,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     37,                 1.0882,                 1.0651,                 1.1022,                0.82051,                0.58328,                0.68698,                0.52115,                0.97814,                0.76077,                0.98448,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     38,                 1.0959,                 1.0164,                 1.0965,                0.82278,                0.58115,                0.68881,                0.51889,                0.97706,                0.76001,                0.98382,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     39,                 1.1389,                  1.045,                 1.1009,                0.80813,                0.59001,                0.68877,                0.52139,                0.97374,                0.75647,                0.98149,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     40,                 1.0851,                 1.0402,                 1.0939,                0.79459,                0.60007,                0.68971,                0.52339,                0.97027,                0.75439,                 0.9797,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     41,                  1.025,                0.99448,                 1.0312,                0.82884,                0.59597,                  0.689,                0.52161,                0.96843,                0.75443,                0.97566,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     42,                 1.0846,                 1.0476,                 1.0722,                0.83677,                0.59725,                0.68698,                0.52122,                0.96622,                0.76057,                0.97262,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     43,                 1.1018,                 1.0452,                 1.0555,                0.82578,                0.60032,                0.68754,                0.52246,                 0.9684,                0.76716,                0.97164,              2.004e-05,              2.004e-05,              2.004e-05
                     44,                 1.0471,                0.99684,                 1.0373,                0.83251,                0.59383,                0.68534,                0.52044,                0.96935,                0.77038,                0.97096,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     45,                 1.0848,                0.96078,                 1.0439,                0.81607,                0.59581,                0.68752,                0.52321,                0.97182,                0.77461,                0.97082,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     46,                 1.0327,                0.94283,                  1.048,                0.81001,                0.59363,                0.68574,                0.52364,                0.97252,                0.77586,                0.96967,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     47,                 1.0323,                0.91605,                 1.0324,                0.79419,                0.60384,                0.68691,                0.52127,                0.97219,                0.77448,                0.96923,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     48,                 1.0432,                0.91653,                  1.059,                0.81642,                0.58717,                0.68804,                0.52267,                0.97515,                0.77588,                0.96995,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     49,                 1.0378,                0.92312,                 1.0391,                0.84556,                0.58116,                0.68844,                0.52277,                0.97727,                0.77824,                0.97054,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     50,                0.99441,                0.87214,                 1.0289,                0.84094,                0.58323,                0.68928,                0.52344,                 0.9774,                0.78251,                0.97099,             3.5462e-06,             3.5462e-06,             3.5462e-06
